Name,Team,Cl,Ht,Pos,Games,GoalieGames,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GameWinningGoals,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,PKGoals,PKAttempts,PKPct,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,Shutouts,GoalieMinutes,GoalsAgainst,GAA
Nate Martinez,Ga. Southern,Sr.,6-3,GK,18,18,,,,,,,,,,,,,,,,0,0,53,2.94,0.768,8,1633:06,16,0.882
Matias Molina,Seton Hall,Sr.,5-10,GK,19,19,,,,,,,,,,,,,,,,0,0,49,,0.766,8,1716:43,15,0.786
Joe O'Shaughnessy,UC Irvine,So.,6-7,GK,21,,,,,,,,,,,,,,,,,0,0,41,,0.695,8,1845:00,18,0.878
Marc Popow,Kansas City,Fr.,6-1,GK,20,20,,,,,,,,,,,,,,,,0,0,55,,0.733,8,1800:00,20,1.000
Owen Beninga,UC Santa Barbara,Fr.,6-3,GK,12,12,,,,,,,,,,,,,,,,0,1,46,3.83,0.885,7,1044:42,6,0.517
Tomas Butkovic,Drake,So.,6-0,GK,17,17,,,,,,,,,,,,,,,,0,0,45,,0.776,7,1531:51,13,0.764
Phillip Falcon III,Penn,Jr.,6-3,GK,12,,,,,,,,,,,,,,,,,0,0,43,3.58,0.860,7,1080:00,7,0.583
Michael Guiry,Army West Point,So.,6-5,GK,15,15,,,,,,,,,,,,,,,,0,0,54,3.60,0.818,7,1273:08,12,0.848
Matthew Hudson,Creighton,So.,6-1,GK,16,16,,,,,,,,,,,,,,,,0,0,53,3.31,0.768,7,1440:00,16,1.000
Daniel Ibarra,Grand Canyon,Sr.,6-1,GK,20,20,,,,,,,,,,,,,,,,3,0,70,3.50,0.833,7,1775:00,14,0.710
Lucas Jones,San Francisco,Jr.,5-11,GK,14,14,,,,,,,,,,,,,,,,0,0,46,3.29,0.742,7,1260:00,16,1.143
Sam Joseph,Virginia Tech,Sr.,6-4,GK,16,16,,,,,,,,,,,,,,,,0,0,46,2.88,0.708,7,1440:00,19,1.188
Tenzing Manske,Georgetown,Sr.,6-1,GK,21,21,,,,,,,,,,,,,,,,0,0,54,,0.750,7,1845:55,18,0.878
Casper Mols,Virginia,Sr.,6-4,GK,17,,,,,,,,,,,,,,,,,0,0,43,,0.717,7,1550:00,17,0.987
Jackson Ozburn,Santa Clara,Sr.,6-3,GK,17,17,,,,,,,,,,,,,,,,0,0,48,,0.738,7,1416:08,17,1.080
Carlito Saylon,Tulsa,So.,6-0,GK,18,18,,,,,,,,,,,,,,,,0,0,47,,,7,1620:29,23,1.277
Rowan Schnebly,Stanford,Jr.,6-1,GK,20,,,,,,,,,,,,,,,,,0,0,42,,0.712,7,1787:13,17,0.856
Tristan Stephani,Fordham,Sr.,6-4,GK,13,13,,,,,,,,,,,,,,,,0,0,49,3.77,0.790,7,1190:00,13,0.983
Alex Svetanoff,Louisville,Jr.,6-2,GK,17,17,,,,,,,,,,,,,,,,0,0,53,3.12,0.746,7,1530:00,18,1.059
Seth Wilson,UNC Greensboro,Jr.,6-5,GK,23,23,,,,,,,,,,,,,,,,0,0,59,,0.702,7,2126:16,25,1.058
Quinten Blair,Saint Louis,Sr.,6-0,D,24,,6,,,,,,,,,,,,5,5,1.000,0,0,,,,,,,
Graham Dougald,Mount St. Mary's,Sr.,5-10,M,17,,,,,,,,,,,,,,4,4,1.000,0,0,,,,,,,
Mitar Mitrovic,Michigan,Sr.,6-2,M,18,,,,,,,,,,,,,,4,4,1.000,4,2,,,,,,,
Quin Rogers,Michigan,Sr.,5-10,M,14,,,,,,,,,,,,,,4,4,1.000,0,0,,,,,,,
Tiago Barriguinha,Rhode Island,Jr.,6-1,M,17,,,,,,,,,,,,,,3,3,1.000,4,0,,,,,,,
Steven Cordova,Presbyterian,Sr.,5-10,M,19,,,,,,,,,,,,,,3,3,1.000,5,0,,,,,,,
Carlos Hernando,West Virginia,Sr.,6-3,D,17,,,,,,,,,,,,,,3,3,1.000,0,0,,,,,,,
Til Kauschke,Seton Hall,So.,6-2,M,19,,,,,,,,,,,,,,3,3,1.000,3,0,,,,,,,
Kyle Macfarlane,St. Bonaventure,Jr.,6-0,M,15,,,,,,,,,,,,,,3,3,1.000,4,0,,,,,,,
Drew Pierson,Detroit Mercy,Jr.,5-10,D,17,,,,,,,,,,,,,,3,3,1.000,3,0,,,,,,,
Duncan Sullivan,Navy,So.,5-9,M,11,,,,,,,,,,,,,,3,3,1.000,0,0,,,,,,,
Bastian Toelhoej,Saint Mary's (CA),Sr.,6-3,M,16,,,,,,,,,,,,,,3,3,1.000,3,0,,,,,,,
Fernando Valenzuela,Cal St. Fullerton,Jr.,5-9,M,20,,,,,,,,,,,,,,3,3,1.000,3,0,,,,,,,
Martin Wurschmidt,Evansville,So.,6-2,D,20,,,,,,,,,,,,,,3,3,1.000,0,0,,,,,,,
Tim Allos,Oakland,Sr.,6-1,F,15,,6,0.40,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Jefferson Amaya,High Point,Sr.,6-1,M,20,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Harun Bakaran,Xavier,Fr.,6-4,F,13,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Jad Benjelloun,St. John's (NY),Jr.,6-0,M,9,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Marko Borkovic,Ohio St.,Sr.,5-11,M,8,,,,,,,,3,,,,,,2,2,1.000,0,0,,,,,,,
Anthony Boyadjian,LMU (CA),Fr.,-,F,18,,,,,,,,,,,,,,2,2,1.000,3,0,,,,,,,
Saad Chaouki,Memphis,Jr.,5-11,M,15,,6,0.40,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Rhys Davies,Bellarmine,Sr.,6-1,D,17,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Alex De Nittis,Saint Francis,Jr.,5-8,F,11,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Simon Duus Muller,San Diego,Sr.,6-5,D,8,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Mukisa Emmanuel,SMU,Jr.,5-10,F,20,,6,,,,,,,,,20,1.00,,2,2,1.000,0,0,,,,,,,
Misael Gonzalez Lopez,UC Irvine,Sr.,5-10,F,21,,7,,2,,16,,,45,2.14,,,,2,2,1.000,0,0,,,,,,,
Cason Goodman,UC Davis,Sr.,6-3,F,19,,6,,4,,16,,,51,2.68,23,1.21,0.451,2,2,1.000,0,0,,,,,,,
Nil Grau,Utah Valley,Jr.,6-4,F,11,,,,,,,,,,,,,,2,2,1.000,5,0,,,,,,,
Henry Hamilton,Manhattan,Sr.,5-8,F,16,,,,7,0.44,,,,,,,,,2,2,1.000,3,0,,,,,,,
Jose Antonio Herrera,IU Indy,Jr.,5-11,F,17,,3,,,,,,,39,2.29,17,1.00,0.436,2,2,1.000,0,0,,,,,,,
Luca Iaccino,DePaul,So.,6-0,F,17,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Jackson Kirsch,Drake,Jr.,5-10,M,8,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
DJ Koulai,Bradley,Jr.,5-10,F,17,,,,5,0.29,,,,,,,,,2,2,1.000,3,0,,,,,,,
Matt Lenert,Col. of Charleston,Jr.,6-4,F,17,,5,,,,,,,34,,17,1.00,0.500,2,2,1.000,0,0,,,,,,,
Agustin Lopez,Kentucky,So.,5-9,M,14,,,,,,,,,,,,,,2,2,1.000,3,0,,,,,,,
Miles Merritt,Michigan St.,Jr.,5-10,M,15,,,,,,,,,,,,,,2,2,1.000,5,0,,,,,,,
Jackson Miller,Cal Poly,Jr.,6-0,M,20,,,,,,,,,,,,,,2,2,1.000,3,0,,,,,,,
Bjorn Nikolajewski,St. John's (NY),Sr.,6-3,D,12,,,,,,,,,,,,,,2,2,1.000,0,1,,,,,,,
Terence Okoeguale,San Diego St.,Sr.,5-10,F,11,,,,,,,,,,,,,,2,2,1.000,3,1,,,,,,,
Holger Olsson,Denver,Jr.,6-0,M,17,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Nico Pendleton,Marquette,So.,5-11,M,14,,4,,,,,,,40,2.86,15,1.07,0.375,2,2,1.000,3,0,,,,,,,
Rai Pinto,Marshall,Jr.,5-9,D,19,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Agaton Pourshahidi,UC Irvine,Sr.,6-1,F,20,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Tyler Richardson,South Fla.,Jr.,5-11,M,17,,,,,,,,,,,,,,2,2,1.000,3,0,,,,,,,
Jorge Solorzano,CSUN,Jr.,5-9,M,12,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Ali Taleb,Northern Ky.,Jr.,6-1,F,16,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Matthew Zachemski,Wisconsin,So.,5-10,M,16,,,,,,,,,,,,,,2,2,1.000,0,0,,,,,,,
Adam Abdelaal,Merrimack,So.,6-0,F,16,,4,,,,,,,32,,17,1.06,0.531,1,1,1.000,4,0,,,,,,,
Christian Acevedo,UNCW,So.,6-2,F,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Chris Album,Green Bay,Sr.,6-0,F,16,,6,0.38,,,,,,34,,13,,0.382,1,1,1.000,0,0,,,,,,,
Joao Alves,Marshall,Fr.,-,-,21,,,,,,,,,,,,,,1,1,1.000,6,0,,,,,,,
Gianni Angaran,Canisius,So.,5-11,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Thiago Apolinario,Marshall,Jr.,5-9,M,5,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Zachary Applewhite,Niagara,Sr.,6-0,D,13,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Cameron Arnold,James Madison,Jr.,6-0,F,15,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Cesar Bahena,San Diego,Sr.,5-9,M,19,,,,,,,,,49,2.58,,,,1,1,1.000,0,0,,,,,,,
Luca Baltzer,Pacific,Sr.,6-1,M,17,,,,5,0.29,,,,,,,,,1,1,1.000,3,0,,,,,,,
Vitor Baptistelli,Queens (NC),Fr.,5-9,M,14,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Gustavo Barbosa,UAB,Sr.,5-7,D,11,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Alex Bazia,Gonzaga,So.,6-1,F,15,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
João Belmudes,South Fla.,Sr.,5-9,M,15,,,,5,0.33,,,,,,,,,1,1,1.000,0,0,,,,,,,
David Biggers,Denver,Jr.,5-9,M,12,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Ulfur Bjornsson,Duke,Jr.,6-3,F,17,,,,,,,,,56,3.29,20,1.18,,1,1,1.000,4,0,,,,,,,
Steven Boaghe Braniste,Northern Ky.,Jr.,5-11,D,15,,,,,,,,,,,,,,1,1,1.000,5,0,,,,,,,
Zach Bohane,Stanford,Sr.,5-10,M,19,,5,,,,,,3,65,3.42,25,1.32,0.385,1,1,1.000,0,0,,,,,,,
Silas Borgman,Northern Ky.,Jr.,5-7,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Caleb Borneo,Akron,So.,5-6,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Adam Boykin,Eastern Ill.,So.,5-11,F,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Gabriel Bracken Serra,North Carolina,Sr.,5-9,F,18,,5,,5,,15,,,,,,,,1,1,1.000,0,0,,,,,,,
Joaquín Brizuela,Kentucky,So.,6-2,F,19,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Owen Burke,Stonehill,Sr.,5-11,M,18,,3,,,,,,,40,2.22,17,0.94,0.425,1,1,1.000,0,0,,,,,,,
Jack Burkhardt,Boston College,Jr.,6-0,MD,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Juan Cardona,Niagara,Sr.,6-2,M,15,,,,,,,,,,,,,,1,1,1.000,0,1,,,,,,,
Mario Carlos,Cal St. Fullerton,Sr.,6-0,F,19,,7,0.37,,,,,,54,2.84,22,1.16,0.407,1,1,1.000,0,1,,,,,,,
Evan Carlson,Drake,Sr.,5-8,F,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Westin Carnevale,Cornell,Sr.,5-10,M,20,,6,,3,,15,,,,,,,,1,1,1.000,0,0,,,,,,,
Emilio Cazares,Oral Roberts,Sr.,-,F,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Isaiah Chisolm,Kentucky,Jr.,6-3,F,17,,6,0.35,,,,,,,,,,,1,1,1.000,0,1,,,,,,,
Rowen Choi,VMI,Fr.,5-7,M,9,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Alexander Clive Vokes,UAlbany,Fr.,-,M,17,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Eli Conway,Fla. Atlantic,Sr.,6-0,F,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jonah Craig,UNLV,Sr.,-,M,16,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Louis Crofts,George Washington,So.,5-11,F,17,,,,,,,,,37,2.18,,,,1,1,1.000,0,0,,,,,,,
Alberto Cruz,Pacific,Sr.,5-11,F,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Gavin Csiszar,Lindenwood,Sr.,5-10,M,21,,6,,4,,16,,,,,,,,1,1,1.000,0,0,,,,,,,
Kevin Cull,Holy Cross,Jr.,6-0,M,17,,,,5,0.29,,,,,,,,,1,1,1.000,5,0,,,,,,,
Harry Dale,Ga. Southern,So.,6-0,M,10,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Taylor Davis,NIU,Sr.,5-10,F,4,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Andrew De Gannes,Oregon St.,Sr.,5-9,D,17,,,,8,0.47,,,,,,,,,1,1,1.000,3,0,,,,,,,
Jack De Simone,Army West Point,Fr.,6-1,F,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jacob Deever,Cleveland St.,Sr.,5-8,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Sam Delgado,William & Mary,Sr.,-,F,16,,2,,,,,,,32,,17,1.06,0.531,1,1,1.000,3,0,,,,,,,
Andrea Di Blasio,Boston U.,Jr.,6-1,F,17,,5,,,,,,,35,,16,,0.457,1,1,1.000,4,0,,,,,,,
Nacho Diaz Barragan,George Mason,Sr.,5-8,F,14,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Momo Diop,Marshall,Sr.,6-2,F,13,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Braden Dunham,Furman,Fr.,6-1,D,23,,7,,3,,17,,,,,,,,1,1,1.000,3,0,,,,,,,
Thimson Duolo,VMI,Fr.,6-4,F,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Lukas Egarter,Temple,Jr.,5-9,M,15,,,,,,,,,,,,,,1,1,1.000,6,0,,,,,,,
Ask Ekeland,Boston College,Sr.,6-3,M,17,,,,,,,,3,46,2.71,,,,1,1,1.000,3,0,,,,,,,
Patrik Fagan,UAB,So.,5-11,F,10,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Griffin Feather,Lafayette,Jr.,6-0,M,20,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Bryce Flowers,Northeastern,So.,5-11,F,15,,5,,,,,,,30,,13,,0.433,1,1,1.000,0,0,,,,,,,
Alessandro Franciosa,Columbia,Sr.,5-10,M,13,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Kimito Fritz,UNC Greensboro,Sr.,6-0,D,23,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Juan Pablo Gonzalez,Jacksonville,Sr.,-,D,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jackson Gould,Stony Brook,Sr.,5-11,M,19,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Allbranly Gue,Sacramento St.,Fr.,6-1,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Ethan Hackenberg,SIUE,Sr.,5-9,M,16,,,,,,,,,,,,,,1,1,1.000,5,0,,,,,,,
Joon Han,DePaul,So.,5-5,M,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Sabri Hanni,UConn,Jr.,5-7,M,20,,,,5,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Drew Hardin,California Baptist,Jr.,5-11,M,13,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Oscar Harris,San Francisco,Fr.,6-2,F,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Shion Hayashi,Eastern Ill.,Jr.,5-8,M,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Alan Hermitte,Grand Canyon,So.,6-1,F,20,,,,,,,,3,,,,,,1,1,1.000,0,0,,,,,,,
Mason Jimenez,Clemson,Jr.,6-0,M,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Luke Johnson,Saint Joseph's,Sr.,6-0,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Samy Kanaan,San Diego,Sr.,5-11,F,15,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Oscar Kelly,USC Upstate,Fr.,5-7,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Elias Khodri,New Hampshire,Sr.,6-0,F,18,,7,0.39,1,,15,,3,52,2.89,30,1.67,0.577,1,1,1.000,0,0,,,,,,,
Raphael Kistmann,Kansas City,Sr.,6-0,M,19,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Lewis Knecht,Utah Valley,Fr.,5-11,F,14,,,,,,,,,,,,,,1,1,1.000,5,0,,,,,,,
Daiki Kumakawa,Milwaukee,Sr.,5-5,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jackson Lagos,Duke,Sr.,5-11,M,3,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Yanis Lakhlifi,St. Thomas (MN),Sr.,6-1,F,17,,6,0.35,,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Christian Lindtner Wahlstroem,Jacksonville,Fr.,-,F,12,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Ben Liscum,Penn St.,Sr.,6-0,M,16,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Diego Lopez-Rosales,LMU (CA),Sr.,-,F,18,,,,,,,,,,,,,,1,1,1.000,0,1,,,,,,,
Alek Markovski,Western Mich.,So.,6-2,F,14,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Zachary Martin,Ga. Southern,Sr.,6-1,F,11,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Jose Luis Martin Montealegre,Utah Valley,Jr.,6-2,F,13,,,,5,0.38,,,,,,,,,1,1,1.000,0,0,,,,,,,
Marcello Mazzola,Villanova,Jr.,5-8,F,12,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
John Paul Mbuthia,Massachusetts,Sr.,6-0,F,12,,8,,2,,18,,,,,,,,1,1,1.000,0,1,,,,,,,
Kevin Mejias,Bradley,Sr.,5-7,F,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jeff Mesidor,Oral Roberts,Fr.,-,M,17,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Vasilis Moiras,Dartmouth,Jr.,5-9,F,6,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Javier Montava,George Mason,Jr.,5-8,M,16,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Robbie Mora,Gonzaga,Sr.,6-0,M,14,,5,0.36,,,,,,,,,,,1,1,1.000,5,1,,,,,,,
Aidan Morrison,Liberty,So.,6-2,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Ethan Newsome,UNCW,Sr.,5-8,M,16,,,,,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Dunes Nielsen,Utah Tech,So.,5-11,M,14,,5,0.36,,,,,,30,2.14,17,1.21,0.567,1,1,1.000,0,0,,,,,,,
Eliot O'Neil,Mount St. Mary's,So.,6-1,M,11,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Rashaad Ogun,CSU Bakersfield,Sr.,5-9,F,14,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Orthodoxos Orthodoxou,Charlotte,So.,6-0,F,12,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Parker Owens,Cal Poly,Jr.,6-4,D,15,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
John Palomino,Detroit Mercy,So.,6-0,F,11,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Louis Peña,Belmont,So.,6-1,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Marc Pitarch Bayot,Bryant,Sr.,6-3,F,18,,,,6,0.33,,,,,,,,,1,1,1.000,0,0,,,,,,,
Mouhamed Pouye,UTRGV,Jr.,5-7,F,10,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Markus Pusztahegyi,St. John's (NY),Sr.,6-1,D,7,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Joao Paulo Ramos,Michigan,Jr.,5-9,M,20,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Anthony Randazzo,Binghamton,Jr.,6-0,F,12,,,,,,,,,,,,,,1,1,1.000,0,1,,,,,,,
Matthew Reed,Creighton,Jr.,5-10,D,15,,,,,,,,,,,,,,1,1,1.000,4,1,,,,,,,
Diego Robles,UIW,So.,-,-,18,,,,,,,,,,,18,1.00,,1,1,1.000,0,0,,,,,,,
Bruno Rosa,Providence,Sr.,6-2,F,15,,4,,,,,,,32,2.13,17,1.13,0.531,1,1,1.000,5,0,,,,,,,
Silas Rustin,Detroit Mercy,Sr.,6-0,M,14,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Carlos Santamaria,NC State,Sr.,5-8,M,22,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Balthazar Saunders,UConn,Sr.,6-0,M,21,,5,,6,,16,,,45,2.14,20,0.95,0.444,1,1,1.000,4,0,,,,,,,
Nathan Scott,Syracuse,Jr.,5-9,M,20,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Braden Seel,Dayton,Jr.,6-0,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Donovan Sessoms,Sacramento St.,Jr.,5-10,F,17,,2,,,,,,,39,2.29,17,1.00,0.436,1,1,1.000,3,1,,,,,,,
Calle Sjoberg,Iona,Jr.,6-0,M,18,,,,7,0.39,,,,,,,,,1,1,1.000,0,0,,,,,,,
Zac Smuck,UC Irvine,Fr.,6-3,F,20,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Ryan Sommerfeld,Detroit Mercy,Sr.,6-3,F,12,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Mateo Stoka,Marquette,Jr.,5-9,M,15,,,,,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Oren Stuppel,Cal Poly,Sr.,5-8,F,20,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Joe Suchecki,Northwestern,Sr.,6-4,M,17,,4,,5,0.29,,,,41,2.41,18,1.06,0.439,1,1,1.000,4,0,,,,,,,
Jackson Sullivan,Bucknell,Sr.,6-3,D,18,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Michael Switala,Bradley,Sr.,6-2,M,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Bradley Takamo,Omaha,So.,5-9,F,15,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Nicolo Vallocchia,Merrimack,Fr.,5-8,M,14,,,,,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Matthew Van Horn,Georgetown,Jr.,6-0,M,17,,,,6,0.35,,,,,,,,,1,1,1.000,0,0,,,,,,,
Daniele Verdirosi,Missouri St.,Sr.,6-0,F,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Artem Vovk,UCLA,So.,5-9,F,7,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Jack Wagoner,Indiana,Sr.,5-10,M,18,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Zion Wagoner,CSUN,Sr.,6-2,F,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Vlad Walent,Wake Forest,Jr.,5-9,D,17,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Patrick Ward,Davidson,Jr.,5-11,D,19,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Hiroshi Yang,Sacramento St.,So.,5-8,M,9,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Diego Zaffanella,Yale,Sr.,5-11,M,15,,,,,,,,,,,,,,1,1,1.000,4,0,,,,,,,
Malcolm Zalayet,California,So.,6-0,F,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Carlos Zambrano,Syracuse,Sr.,5-10,M,20,,5,,,,,,,42,,18,,0.429,1,1,1.000,3,0,,,,,,,
Salvatore Zani,Merrimack,So.,6-0,F,16,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Sebastian Zettl,Fla. Atlantic,Sr.,5-9,M,13,,,,,,,,,,,,,,1,1,1.000,3,0,,,,,,,
Ronald Zhai,Army West Point,So.,6-0,M,18,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Angelo Zhu,Yale,Fr.,5-8,M,15,,,,,,,,,,,,,,1,1,1.000,0,0,,,,,,,
Angel Gongora,Milwaukee,Sr.,6-2,M,19,,,,,,,,,,,,,,5,6,0.833,0,0,,,,,,,
Leon Koehl,Maryland,Jr.,6-2,M,16,,,,,,,,,,,,,,3,4,0.750,0,0,,,,,,,
Thomas Robertson,Lehigh,Jr.,5-10,F,20,,6,,,,,,,,,,,,3,4,0.750,0,0,,,,,,,
Caleb Danquah,Stony Brook,Sr.,5-6,F,19,,,,,,,,,,,19,1.00,,2,3,0.667,0,0,,,,,,,
Samir Dishnica,Lafayette,Jr.,6-0,M,22,,6,,3,,15,,3,67,3.05,28,1.27,0.418,2,3,0.667,4,0,,,,,,,
Fynn Lahrsen,Villanova,So.,6-4,F,18,,,,,,,,,,,,,,2,3,0.667,4,0,,,,,,,
Drew Lovelace,NC State,Sr.,6-2,FM,23,,,,,,,,,,,,,,3,5,0.600,3,0,,,,,,,
Matteo Mazzotta,Saint Joseph's,Sr.,5-8,M,17,,6,0.35,,,,,,,,,,,3,5,0.600,0,0,,,,,,,
Pedro Amadou,La Salle,So.,6-2,-,14,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Drew Blackwell,La Salle,Sr.,5-8,M,17,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Trevor Burns,Duke,Sr.,5-8,M,19,,,,,,,,,,,,,,1,2,0.500,0,0,,,,,,,
Camilo Comi,VCU,Sr.,5-7,F,17,,,,,,,,,,,,,,1,2,0.500,3,0,,,,,,,
Tancredi Fadda,Evansville,Sr.,6-2,F,18,,,,,,,,,,,,,,1,2,0.500,4,0,,,,,,,
Kevin Gorbell,Robert Morris,Jr.,6-1,D,17,,,,,,,,,,,,,,1,2,0.500,4,0,,,,,,,
